#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"152b68","a-h-A-M-F-C-H","RA-76648","IL-76MD","RUS AF"
"152b69","a-h-A-M-F-C-H","RA-76649","IL-76MD","RUS AF"
"152b6a","a-h-A-M-F-C-H","RF-76650","IL-76MD","RUS AF"
"152b7c","a-h-A-M-F-C-H","RF-76668","IL-76MD","RUS AF"
"152b7d","a-h-A-M-F-C-H","RA-76669","IL-76MD","RUS AF"
"152b8e","a-h-A-M-F-C-H","RA-76686","IL-76MD","RUS AF"
"152b95","a-h-A-M-F-C-H","RF-76693","IL-76MD","RUS AF"
"152b9e","a-h-A-M-F-C-H","RF-76702","IL-76MD","RUS AF"
"152ba4","a-h-A-M-F-C-H","RF-95669","IL-76MD","RUS AF"
"152ba9","a-h-A-M-F-C-H","RA-76713","IL-76MD","RUS AF"
"152baa","a-h-A-M-F-C-H","RF-76714","IL-76MD","RUS AF"
"152bae","a-h-A-M-F-C-H","RA-76718","IL-76MD","RUS AF"
"152baf","a-h-A-M-F-C-H","RA-76719","IL-76MD","RUS AF"
"152bb0","a-h-A-M-F-C-H","RF-76720","IL-76MD","RUS AF"
"152bb2","a-h-A-M-F-C-H","RF-76722","IL-76MD","RUS AF"
"152bb4","a-h-A-M-F-C-H","RA-76724","IL-76MD","RUS AF"
"152bb5","a-h-A-M-F-C-H","RA-76725","IL-76MD","RUS AF"
"152bb6","a-h-A-M-F-C-H","RF-76726","IL-76MD","RUS AF"
"152bbb","a-h-A-M-F-C-H","RF-76731","IL-76MD","RUS AF"
"152bbd","a-h-A-M-F-C-H","RF-76733","IL-76MD","RUS AF"
"152bc2","a-h-A-M-F-C-H","RA-76738","IL-76MD","RUS AF"
"152bc3","a-h-A-M-F-C-H","RF-76739","IL-76MD","RUS AF"
"152bc4","a-h-A-M-F-C-H","RF-76740","IL-76MD","RUS AF"
"152bc5","a-h-A-M-F-C-H","RA-76741","IL-76MD","RUS AF"
"152bc7","a-h-A-M-F-C-H","RA-76743","IL-76MD","RUS AF"
"152bc9","a-h-A-M-F-C-H","RF-76745","IL-76MD","RUS AF"
"152bca","a-h-A-M-F-C-H","RF-76746","IL-76MD-M","RUS AF"
"152bcb","a-h-A-M-F-C-H","RF-76747","IL-76MD","RUS AF"
"152bda","a-h-A-M-F-C-H","RA-76762","IL-76MD","RUS AF"
"152bdb","a-h-A-M-F-C-H","RA-76763","IL-76MD","RUS AF"
"152bdc","a-h-A-M-F-C-H","RF-76764","IL-76MD","RUS AF"
"152bdd","a-h-A-M-F-C-H","RF-76765","IL-76MD","RUS AF"
"152bdf","a-h-A-M-F-C-H","RA-76767","IL-76MD","RUS AF"
"152be0","a-h-A-M-F-C-H","RF-76768","IL-76MD","RUS AF"
"152be1","a-h-A-M-F-C-H","RF-76769","IL-76MD","RUS AF"
"152be2","a-h-A-M-F-C-H","RF-76770","IL-76MD","RUS AF"
"152be3","a-h-A-M-F-C-H","RA-76771","IL-76MD","RUS AF"
"152be5","a-h-A-M-F-C-H","RF-76773","IL-76MD","RUS AF"
"152be8","a-h-A-M-F-C-H","RA-76776","IL-76MD","RUS AF"
"152beb","a-h-A-M-F-C-H","RF-76779","IL-76MD","RUS AF"
"15339e","a-h-A-M-F-C-H","RF-78750","IL-76MD","RUS AF"
"1533a5","a-h-A-M-F-C-H","RF-78757","IL-76MD","RUS AF"
"1533aa","a-h-A-M-F-C-H","RA-78762","IL-76MD","RUS AF"
"1533ac","a-h-A-M-F-C-H","RF-78764","IL-76MD","RUS AF"
"1533ae","a-h-A-M-F-C-H","RF-78766","IL-76MD","RUS AF"
"1533b0","a-h-A-M-F-C-H","RF-78768","IL-76MD","RUS AF"
"1533b8","a-h-A-M-F-C-H","RA-78776","IL-76MD","RUS AF"
"1533b9","a-h-A-M-F-C-H","RF-78777","IL-76MD","RUS AF"
"1533ba","a-h-A-M-F-C-H","RF-78778","IL-76MD","RUS AF"
"1533be","a-h-A-M-F-K","RA-78782","IL-78","RUS AF"
"1533c0","a-h-A-M-F-C-H","RF-78784","IL-76MD","RUS AF"
"1533c4","a-h-A-M-F-C-H","RF-78788","IL-76MD","RUS AF"
"1533c6","a-h-A-M-F-C-H","RF-78790","IL-76MD","RUS AF"
"1533c7","a-h-A-M-F-C-H","RF-78791","IL-76MD","RUS AF"
"1533ca","a-h-A-M-F-C-H","RA-78794","IL-76MD","RUS AF"
